"id","comitted_production_per_hour","hired_for_this","remarks","employee_id","skills_id","process_id","efficiency","smv"
"15","90","yes",NULL,"9842","8","44",NULL,"0"
"16","60","yes",NULL,"9842","8","6",NULL,"0"
"17","100","yes",NULL,"9842","8","7",NULL,"0"
"18","120","yes",NULL,"9846","12","97",NULL,"0"
"19","140","yes",NULL,"9846","8","97",NULL,"0"
"20","70","yes",NULL,"9846","8","67",NULL,"0"
"21","90","yes",NULL,"9846","8","62",NULL,"0"
"22","90","yes",NULL,"9846","8","93",NULL,"0"
"23","70","yes",NULL,"9846","8","92",NULL,"0"
"24","75","yes",NULL,"9852","8","62",NULL,"0"
"25","75","yes",NULL,"9852","15","79",NULL,"0"
"26","100","yes",NULL,"9852","16","81",NULL,"0"
"27","80","yes",NULL,"9852","15","34",NULL,"0"
"28","100","yes",NULL,"9852","80","44",NULL,"0"
"29","70","yes",NULL,"9860","8","62",NULL,"0"
"30","75","yes",NULL,"9860","8","72",NULL,"0"
"31","90","yes",NULL,"9860","8","67",NULL,"0"
"32","90","yes",NULL,"9866","8","45",NULL,"0"
"33","80","yes",NULL,"9866","8","62",NULL,"0"
"34","110","yes",NULL,"9866","11","11",NULL,"0"
"35","90","yes",NULL,"9935","8","63",NULL,"0"
"36","70","yes",NULL,"9935","8","25",NULL,"0"
"37","120","yes",NULL,"9935","8","41",NULL,"0"
"38","90","yes",NULL,"9935","8","67",NULL,"0"
"39","120","yes",NULL,"9942","8","7",NULL,"0"
"40","70","yes",NULL,"9942","8","6",NULL,"0"
"41","140","yes",NULL,"9942","8","35",NULL,"0"
"42","120","yes",NULL,"9942","8","36",NULL,"0"
"43","80","yes",NULL,"9945","8","84",NULL,"0"
"44","100","yes",NULL,"9945","13","79",NULL,"0"
"45","70","yes",NULL,"9945","16","81",NULL,"0"
"46","90","yes",NULL,"9945","16","95",NULL,"0"
"47","70","yes",NULL,"9947","13","96",NULL,"0"
"48","100","yes",NULL,"9947","14","76",NULL,"0"
"49","100","yes",NULL,"9947","16","95",NULL,"0"
"50","100","yes",NULL,"9978","16","79",NULL,"0"
"51","100","yes",NULL,"9978","16","95",NULL,"0"
"52","75","yes",NULL,"9978","13","79",NULL,"0"
"53","90","yes",NULL,"9978","13","94",NULL,"0"
"54","90","yes",NULL,"9979","8","62",NULL,"0"
"55","80","yes",NULL,"9979","11","42",NULL,"0"
"56","90","yes",NULL,"9979","8","95",NULL,"0"
"57","70","yes",NULL,"9980","8","62",NULL,"0"
"58","65","yes",NULL,"9980","16","81",NULL,"0"
"59","70","yes",NULL,"9980","15","79",NULL,"0"
"60","150","yes",NULL,"9981","8","14",NULL,"0"
"61","100","yes",NULL,"9981","8","35",NULL,"0"
"62","130","yes",NULL,"9981","15","58",NULL,"0"
"63","70","yes",NULL,"9982","15","79",NULL,"0"
"64","100","yes",NULL,"9982","15","95",NULL,"0"
"65","80","yes",NULL,"9982","16","81",NULL,"0"
"66","90","yes",NULL,"10003","8","97",NULL,"0"
"67","70","yes",NULL,"10003","8","93",NULL,"0"
"68","80","yes",NULL,"10003","8","76",NULL,"0"
"69","150","yes",NULL,"10003","16","95",NULL,"0"
"70","145","yes",NULL,"10003","16","81",NULL,"0"
"71","120","yes",NULL,"10007","16","56",NULL,"0"
"72","150","yes",NULL,"10007","16","76",NULL,"0"
"73","120","yes",NULL,"10007","16","81",NULL,"0"
"74","150","yes",NULL,"10007","16","95",NULL,"0"
"75","90","yes",NULL,"10007","16","79",NULL,"0"
"76","90","yes",NULL,"10007","8","80",NULL,"0"
"77","100","yes",NULL,"10007","15","35",NULL,"0"
"78","100","yes",NULL,"10021","8","55",NULL,"0"
"79","100","yes",NULL,"10021","15","56",NULL,"0"
"80","70","yes",NULL,"10021","15","95",NULL,"0"
"81","100","yes",NULL,"10021","15","79",NULL,"0"
"82","100","yes",NULL,"10019","8","35",NULL,"0"
"83","100","yes",NULL,"10019","8","36",NULL,"0"
"84","80","yes",NULL,"10022","8","97",NULL,"0"
"85","52","yes",NULL,"10022","8","24",NULL,"0"
"86","80","yes",NULL,"10022","15","79",NULL,"0"
"87","120","yes",NULL,"10022","15","95",NULL,"0"
"88","100","yes",NULL,"10023","8","41",NULL,"0"
"89","150","yes",NULL,"10023","15","70",NULL,"0"
"90","70","yes",NULL,"10023","15","79",NULL,"0"
"91","60","yes",NULL,"10037","8","18",NULL,"0"
"92","90","yes",NULL,"10037","8","41",NULL,"0"
"93","120","yes",NULL,"10112","16","81",NULL,"0"
"94","150","yes",NULL,"12729","11","46",NULL,"0"
"95","100","yes",NULL,"12729","12","45",NULL,"0"
"96","120","yes",NULL,"12729","15","53",NULL,"0"
"97","140","yes",NULL,"12729","11","94",NULL,"0"
"98","100","yes",NULL,"12807","16","81",NULL,"0"
"99","110","yes",NULL,"12807","16","60",NULL,"0"
"100","140","yes",NULL,"12807","16","58",NULL,"0"
"101","70","yes",NULL,"12754","8","97",NULL,"0"
"102","80","yes",NULL,"12754","15","34",NULL,"0"
"103","70","yes",NULL,"12754","15","96",NULL,"0"
"104","150","yes",NULL,"12754","16","95",NULL,"0"
"105","80","yes",NULL,"12726","14","79",NULL,"0"
"106","110","yes",NULL,"12726","11","56",NULL,"0"
"107","65","yes",NULL,"12726","14","24",NULL,"0"
"108","60","yes",NULL,"12726","10","61",NULL,"0"
"109","75","yes",NULL,"12721","14","75",NULL,"0"
"110","70","yes",NULL,"12721","14","87",NULL,"0"
"111","120","yes",NULL,"12719","15","39",NULL,"0"
"112","100","yes",NULL,"12719","15","23",NULL,"0"
"113","100","yes",NULL,"12719","14","7",NULL,"0"
"114","72","yes",NULL,"12720","14","98",NULL,"0"
"115","80","yes",NULL,"12720","14","7",NULL,"0"
"116","100","yes",NULL,"12720","14","45",NULL,"0"
"117","100","yes",NULL,"12720","15","94",NULL,"0"
"118","120","yes",NULL,"12727","14","65",NULL,"0"
"119","80","yes",NULL,"12727","8","72",NULL,"0"
"120","70","yes",NULL,"12727","10","94",NULL,"0"
"121","75","yes",NULL,"12546","15","79",NULL,"0"
"122","100","yes",NULL,"12546","15","95",NULL,"0"
"123","150","yes",NULL,"12546","15","7",NULL,"0"
"124","80","yes",NULL,"12543","8","26",NULL,"0"
"125","50","yes",NULL,"12543","8","6",NULL,"0"
"126","120","yes",NULL,"12543","8","7",NULL,"0"
"127","80","yes",NULL,"12732","15","79",NULL,"0"
"128","100","yes",NULL,"12732","15","96",NULL,"0"
"129","110","yes",NULL,"12732","8","93",NULL,"0"
"130","105","yes",NULL,"12732","8","18",NULL,"0"
"131","100","yes",NULL,"12919","16","96",NULL,"0"
"132","150","yes",NULL,"12919","16","76",NULL,"0"
"133","100","yes",NULL,"12919","16","57",NULL,"0"
"134","100","yes",NULL,"12919","15","95",NULL,"0"
"135","65","yes",NULL,"12858","8","33",NULL,"0"
"136","90","yes",NULL,"12858","8","7",NULL,"0"
"137","70","yes",NULL,"12923","8","7",NULL,"0"
"138","130","yes",NULL,"12923","8","45",NULL,"0"
"139","75","yes",NULL,"12923","8","80",NULL,"0"
"140","120","yes",NULL,"12755","15","70",NULL,"0"
"141","120","yes",NULL,"12755","15","34",NULL,"0"
"142","180","yes",NULL,"12755","15","65",NULL,"0"
"143","140","yes",NULL,"12920","8","11",NULL,"0"
"144","80","yes",NULL,"12920","8","43",NULL,"0"
"145","130","yes",NULL,"12920","8","65",NULL,"0"
"146","75","yes",NULL,"12806","8","97",NULL,"0"
"147","70","yes",NULL,"12806","15","79",NULL,"0"
"148","60","yes",NULL,"12806","11","58",NULL,"0"
"149","120","yes",NULL,"12811","15","7",NULL,"0"
"150","60","yes",NULL,"12811","15","6",NULL,"0"
"151","120","yes",NULL,"12811","15","59",NULL,"0"
"152","65","yes",NULL,"12808","14","96",NULL,"0"
"153","85","yes",NULL,"12808","16","79",NULL,"0"
"154","140","yes",NULL,"12808","14","56",NULL,"0"
"155","60","yes",NULL,"12922","8","86",NULL,"0"
"156","80","yes",NULL,"12922","8","79",NULL,"0"
"157","100","yes",NULL,"12922","8","18",NULL,"0"
"158","130","yes",NULL,"12809","8","45",NULL,"0"
"159","140","yes",NULL,"12809","8","39",NULL,"0"
"160","75","yes",NULL,"12809","10","44",NULL,"0"
"161","100","yes",NULL,"12918","8","66",NULL,"0"
"162","60","yes",NULL,"12918","8","57",NULL,"0"
"163","70","yes",NULL,"12918","11","93",NULL,"0"
"164","140","yes",NULL,"12918","16","95",NULL,"0"
"165","70","yes",NULL,"12921","15","79",NULL,"0"
"166","90","yes",NULL,"12921","15","95",NULL,"0"
"167","120","yes",NULL,"12921","14","58",NULL,"0"
"168","90","yes",NULL,"12921","16","81",NULL,"0"
"169","70","yes",NULL,"12859","8","72",NULL,"0"
"170","65","yes",NULL,"12859","10","39",NULL,"0"
"171","120","yes",NULL,"12734","15","70",NULL,"0"
"172","120","yes",NULL,"12734","14","65",NULL,"0"
"173","100","yes",NULL,"12734","15","23",NULL,"0"
"174","90","yes",NULL,"12746","15","79",NULL,"0"
"175","100","yes",NULL,"12746","15","95",NULL,"0"
"176","150","yes",NULL,"12746","14","61",NULL,"0"
"177","80","yes",NULL,"12723","8","66",NULL,"0"
"178","100","yes",NULL,"12723","8","67",NULL,"0"
"179","60","yes",NULL,"12723","8","6",NULL,"0"
"180","100","yes",NULL,"12723","8","7",NULL,"0"
"181","120","yes",NULL,"12730","8","71",NULL,"0"
"182","115","yes",NULL,"12730","8","7",NULL,"0"
"183","75","yes",NULL,"12730","10","61",NULL,"0"
"184","70","yes",NULL,"12717","8","41",NULL,"0"
"185","90","yes",NULL,"12717","8","42",NULL,"0"
"186","60","yes",NULL,"12717","11","62",NULL,"0"
"187","120","yes",NULL,"12724","8","7",NULL,"0"
"188","100","yes",NULL,"12724","8","11",NULL,"0"
"189","90","yes",NULL,"12724","8","17",NULL,"0"
"190","70","yes",NULL,"12718","15","79",NULL,"0"
"191","90","yes",NULL,"12718","15","95",NULL,"0"
"192","140","yes",NULL,"12718","15","58",NULL,"0"
"193","70","yes",NULL,"13209","15","35",NULL,"0"
"194","90","yes",NULL,"13209","15","95",NULL,"0"
"195","350","yes",NULL,"13209","28","26",NULL,"0"
"196","110","yes",NULL,"13210","8","7",NULL,"0"
